sitename :,bullshoals
years: ,2013,2018
lat: ,36.562833,lon: ,-93.06663

date,tmin,tmax,vpd,sm,srad,dl,swe,prcp,MAP_worldclim,MAT_worldclim,GLDAS_soilfraction_clay,GLDAS_soilfraction_sand,GLDAS_soilfraction_silt,GLDAS_porosity,GLDAS_soiltex,gcc,rcc,gcc_lowess,rcc_lowess,gcc_norm,rcc_norm,gcc_lowess_norm,rcc_lowess_norm
2013-01-23,-7.51,13.39,406.95625298764617,0.0,336.99,9.944058333333334,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-01-24,-5.31,3.9,168.79843359398023,0.0,233.8,9.969669444444444,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-01-25,-2.61,7.37,220.9956523597909,0.0,247.29,9.99585,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-01-26,-2.17,12.98,376.0525444007907,0.0,312.11,10.022588888888889,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-01-27,2.14,14.94,399.43844975147874,0.0,286.37,10.049872222222222,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-01-28,9.08,22.49,637.5218766858393,0.0,283.51,10.077686111111111,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-01-29,11.37,20.97,491.0908260561496,1.5516666666666663,172.0,10.106016666666669,0.0,46.55,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-01-30,3.12,10.52,224.7076018769413,0.0,199.17,10.13485,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-01-31,-6.65,8.53,282.5080079475504,1.8369555555555557,324.77,10.164172222222222,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-01,-11.8,3.16,195.8612768277018,1.7552555555555556,327.29,10.193975,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-02,-9.6,10.17,328.48029227584294,1.6735555555555557,357.41,10.22423888888889,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-03,-2.06,11.16,320.02074109390105,1.5918555555555556,303.02,10.254952777777778,0.0,0.77,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-04,1.81,14.78,398.0192477296389,1.5358222222222222,222.58,10.286105555555556,0.0,2.28,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-05,-1.91,17.56,528.5583095797551,1.5292666666666668,354.94,10.317683333333337,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-06,-0.88,14.41,412.3376943717775,1.4441777777777778,327.64,10.349672222222225,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-07,1.5,14.98,409.2034642933704,1.3590888888888886,231.42,10.382058333333337,0.0,8.73,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-08,0.54,10.64,273.5478907840144,1.5649999999999995,260.54,10.414833333333334,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-09,0.35,6.22,146.39461846050995,1.472233333333333,124.34,10.447980555555556,0.0,16.09,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-10,0.85,14.76,408.4558093963888,1.917144444444444,241.49,10.481491666666669,0.0,2.86,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-11,-0.69,11.95,330.16229431011595,1.9084777777777773,307.54,10.515352777777776,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-12,-3.12,9.47,281.7718351336623,1.8013,231.4,10.54955,0.0,7.39,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-13,-1.51,10.21,286.43711445268434,1.9617666666666669,294.75,10.584072222222224,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-14,-0.4,13.28,370.4191911235104,1.867688888888889,323.32,10.618911111111112,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-15,0.47,6.58,154.3934060571122,1.7736111111111112,175.45,10.654052777777776,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-02-16,-4.17,3.98,157.99491908042415,1.679533333333333,234.33,10.689486111111112,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
